EventName,Driver,Team,PitTimeSeconds,PitTimeMinutes
Australian Grand Prix,ALB,Williams,35.187,0.58645
Australian Grand Prix,ALO,Aston Martin,35.957,0.599283333
Australian Grand Prix,BOT,Kick Sauber,65.788,1.096466667
Australian Grand Prix,GAS,Alpine,37.82,0.630333333
Australian Grand Prix,HAM,Mercedes,17.543,0.292383333
Australian Grand Prix,HUL,Haas F1 Team,36.32,0.605333333
Australian Grand Prix,LEC,Ferrari,34.387,0.573116667
Australian Grand Prix,MAG,Haas F1 Team,36.291,0.60485
Australian Grand Prix,NOR,McLaren,35.443,0.590716667
Australian Grand Prix,OCO,Alpine,66.615,1.11025
Australian Grand Prix,PER,Red Bull Racing,35.15,0.585833333
Australian Grand Prix,PIA,McLaren,35.7,0.595
Australian Grand Prix,RIC,RB,35.742,0.5957
Australian Grand Prix,RUS,Mercedes,35.738,0.595633333
Australian Grand Prix,SAI,Ferrari,35.224,0.587066667
Australian Grand Prix,STR,Aston Martin,35.58,0.593
Australian Grand Prix,TSU,RB,36.003,0.60005
Australian Grand Prix,ZHO,Kick Sauber,55.641,0.92735
Austrian Grand Prix,ALB,Williams,43.397,0.723283333
Austrian Grand Prix,ALO,Aston Martin,77.967,1.29945
Austrian Grand Prix,BOT,Kick Sauber,43.864,0.731066667
Austrian Grand Prix,GAS,Alpine,43.551,0.72585
Austrian Grand Prix,HAM,Mercedes,48.929,0.815483333
Austrian Grand Prix,HUL,Haas F1 Team,44.117,0.735283333
Austrian Grand Prix,LEC,Ferrari,96.589,1.609816667
Austrian Grand Prix,MAG,Haas F1 Team,43.306,0.721766667
Austrian Grand Prix,NOR,McLaren,42.918,0.7153
Austrian Grand Prix,OCO,Alpine,43.454,0.724233333
Austrian Grand Prix,PER,Red Bull Racing,48.646,0.810766667
Austrian Grand Prix,PIA,McLaren,41.689,0.694816667
Austrian Grand Prix,RIC,RB,42.353,0.705883333
Austrian Grand Prix,RUS,Mercedes,42.894,0.7149
Austrian Grand Prix,SAI,Ferrari,42.353,0.705883333
Austrian Grand Prix,SAR,Williams,76.349,1.272483333
Austrian Grand Prix,STR,Aston Martin,43.002,0.7167
Austrian Grand Prix,TSU,RB,44.927,0.748783333
Austrian Grand Prix,VER,Red Bull Racing,70.762,1.179366667
Austrian Grand Prix,ZHO,Kick Sauber,44.702,0.745033333
Bahrain Grand Prix,ALB,Williams,49.461,0.82435
Bahrain Grand Prix,ALO,Aston Martin,49.923,0.83205
Bahrain Grand Prix,BOT,Kick Sauber,101.517,1.69195
Bahrain Grand Prix,GAS,Alpine,81.445,1.357416667
Bahrain Grand Prix,HAM,Mercedes,49.183,0.819716667
Bahrain Grand Prix,HUL,Haas F1 Team,85.509,1.42515
Bahrain Grand Prix,LEC,Ferrari,48.129,0.80215
Bahrain Grand Prix,MAG,Haas F1 Team,50.454,0.8409
Bahrain Grand Prix,NOR,McLaren,48.91,0.815166667
Bahrain Grand Prix,OCO,Alpine,49.821,0.83035
Bahrain Grand Prix,PER,Red Bull Racing,48.916,0.815266667
Bahrain Grand Prix,PIA,McLaren,50.21,0.836833333
Bahrain Grand Prix,RIC,RB,49.36,0.822666667
Bahrain Grand Prix,RUS,Mercedes,49.716,0.8286
Bahrain Grand Prix,SAI,Ferrari,48.466,0.807766667
Bahrain Grand Prix,SAR,Williams,86.297,1.438283333
Bahrain Grand Prix,STR,Aston Martin,48.774,0.8129
Bahrain Grand Prix,TSU,RB,49.271,0.821183333
Bahrain Grand Prix,VER,Red Bull Racing,49.306,0.821766667
Bahrain Grand Prix,ZHO,Kick Sauber,50.124,0.8354
Belgian Grand Prix,ALB,Williams,46.373,0.772883333
Belgian Grand Prix,ALO,Aston Martin,23.116,0.385266667
Belgian Grand Prix,BOT,Kick Sauber,46.272,0.7712
Belgian Grand Prix,GAS,Alpine,45.879,0.76465
Belgian Grand Prix,HAM,Mercedes,45.863,0.764383333
Belgian Grand Prix,HUL,Haas F1 Team,46.896,0.7816
Belgian Grand Prix,LEC,Ferrari,46.771,0.779516667
Belgian Grand Prix,MAG,Haas F1 Team,23.58,0.393
Belgian Grand Prix,NOR,McLaren,45.36,0.756
Belgian Grand Prix,OCO,Alpine,46.951,0.782516667
