Driver,Team,Compound,CompoundCount
ALB,Williams,HARD,472
ALB,Williams,INTERMEDIATE,55
ALB,Williams,MEDIUM,229
ALB,Williams,SOFT,73
ALO,Aston Martin,HARD,390
ALO,Aston Martin,INTERMEDIATE,55
ALO,Aston Martin,MEDIUM,380
ALO,Aston Martin,SOFT,86
BEA,Ferrari,HARD,43
BEA,Ferrari,SOFT,7
BOT,Kick Sauber,HARD,505
BOT,Kick Sauber,INTERMEDIATE,53
BOT,Kick Sauber,MEDIUM,203
BOT,Kick Sauber,SOFT,107
GAS,Alpine,HARD,383
GAS,Alpine,INTERMEDIATE,40
GAS,Alpine,MEDIUM,303
GAS,Alpine,SOFT,48
HAM,Mercedes,HARD,377
HAM,Mercedes,INTERMEDIATE,54
HAM,Mercedes,MEDIUM,302
HAM,Mercedes,SOFT,142
HUL,Haas F1 Team,HARD,482
HUL,Haas F1 Team,INTERMEDIATE,45
HUL,Haas F1 Team,MEDIUM,250
HUL,Haas F1 Team,SOFT,46
HUL,Haas F1 Team,WET,12
LEC,Ferrari,HARD,468
LEC,Ferrari,INTERMEDIATE,56
LEC,Ferrari,MEDIUM,295
LEC,Ferrari,SOFT,68
MAG,Haas F1 Team,HARD,470
MAG,Haas F1 Team,INTERMEDIATE,44
MAG,Haas F1 Team,MEDIUM,270
MAG,Haas F1 Team,SOFT,42
MAG,Haas F1 Team,WET,7
NOR,McLaren,HARD,439
NOR,McLaren,INTERMEDIATE,59
NOR,McLaren,MEDIUM,331
NOR,McLaren,SOFT,81
OCO,Alpine,HARD,472
OCO,Alpine,INTERMEDIATE,58
OCO,Alpine,MEDIUM,253
OCO,Alpine,SOFT,48
PER,Red Bull Racing,HARD,364
PER,Red Bull Racing,INTERMEDIATE,61
PER,Red Bull Racing,MEDIUM,309
PER,Red Bull Racing,SOFT,86
PIA,McLaren,HARD,467
PIA,McLaren,INTERMEDIATE,54
PIA,McLaren,MEDIUM,343
PIA,McLaren,SOFT,53
RIC,RB,HARD,481
RIC,RB,INTERMEDIATE,54
RIC,RB,MEDIUM,220
RIC,RB,SOFT,77
RUS,Mercedes,HARD,449
RUS,Mercedes,INTERMEDIATE,51
RUS,Mercedes,MEDIUM,353
RUS,Mercedes,SOFT,44
SAI,Ferrari,HARD,454
SAI,Ferrari,INTERMEDIATE,56
SAI,Ferrari,MEDIUM,309
SAI,Ferrari,SOFT,31
SAR,Williams,HARD,425
SAR,Williams,INTERMEDIATE,35
SAR,Williams,MEDIUM,228
SAR,Williams,SOFT,83
STR,Aston Martin,HARD,365
STR,Aston Martin,INTERMEDIATE,57
STR,Aston Martin,MEDIUM,338
STR,Aston Martin,SOFT,107
TSU,RB,HARD,512
TSU,RB,INTERMEDIATE,55
TSU,RB,MEDIUM,227
TSU,RB,SOFT,86
VER,Red Bull Racing,HARD,358
VER,Red Bull Racing,INTERMEDIATE,57
VER,Red Bull Racing,MEDIUM,365
VER,Red Bull Racing,SOFT,83
ZHO,Kick Sauber,HARD,408
ZHO,Kick Sauber,INTERMEDIATE,62
ZHO,Kick Sauber,MEDIUM,220
ZHO,Kick Sauber,SOFT,133
