Driver,Team,EventName,TotalPitStops
ALB,Williams,Australian Grand Prix,2
ALB,Williams,Austrian Grand Prix,2
ALB,Williams,Bahrain Grand Prix,2
ALB,Williams,Belgian Grand Prix,2
ALB,Williams,British Grand Prix,2
ALB,Williams,Canadian Grand Prix,2
ALB,Williams,Chinese Grand Prix,2
ALB,Williams,Dutch Grand Prix,2
ALB,Williams,Emilia Romagna Grand Prix,5
ALB,Williams,Hungarian Grand Prix,2
ALB,Williams,Miami Grand Prix,2
ALB,Williams,Monaco Grand Prix,1
ALB,Williams,Saudi Arabian Grand Prix,1
ALB,Williams,Spanish Grand Prix,2
ALO,Aston Martin,Australian Grand Prix,2
ALO,Aston Martin,Austrian Grand Prix,3
ALO,Aston Martin,Bahrain Grand Prix,2
ALO,Aston Martin,Belgian Grand Prix,1
ALO,Aston Martin,British Grand Prix,2
ALO,Aston Martin,Canadian Grand Prix,2
ALO,Aston Martin,Chinese Grand Prix,3
ALO,Aston Martin,Dutch Grand Prix,1
ALO,Aston Martin,Emilia Romagna Grand Prix,3
ALO,Aston Martin,Hungarian Grand Prix,2
ALO,Aston Martin,Japanese Grand Prix,3
ALO,Aston Martin,Miami Grand Prix,1
ALO,Aston Martin,Monaco Grand Prix,1
ALO,Aston Martin,Saudi Arabian Grand Prix,1
ALO,Aston Martin,Spanish Grand Prix,2
BEA,Ferrari,Saudi Arabian Grand Prix,1
BOT,Kick Sauber,Australian Grand Prix,2
BOT,Kick Sauber,Austrian Grand Prix,2
BOT,Kick Sauber,Bahrain Grand Prix,2
BOT,Kick Sauber,Belgian Grand Prix,2
BOT,Kick Sauber,British Grand Prix,2
BOT,Kick Sauber,Canadian Grand Prix,1
BOT,Kick Sauber,Chinese Grand Prix,1
BOT,Kick Sauber,Dutch Grand Prix,2
BOT,Kick Sauber,Emilia Romagna Grand Prix,1
BOT,Kick Sauber,Hungarian Grand Prix,2
BOT,Kick Sauber,Japanese Grand Prix,3
BOT,Kick Sauber,Miami Grand Prix,2
BOT,Kick Sauber,Monaco Grand Prix,2
BOT,Kick Sauber,Saudi Arabian Grand Prix,2
BOT,Kick Sauber,Spanish Grand Prix,2
GAS,Alpine,Australian Grand Prix,2
GAS,Alpine,Austrian Grand Prix,2
GAS,Alpine,Bahrain Grand Prix,3
GAS,Alpine,Belgian Grand Prix,2
GAS,Alpine,Canadian Grand Prix,2
GAS,Alpine,Chinese Grand Prix,3
GAS,Alpine,Dutch Grand Prix,1
GAS,Alpine,Emilia Romagna Grand Prix,2
GAS,Alpine,Hungarian Grand Prix,2
GAS,Alpine,Japanese Grand Prix,3
GAS,Alpine,Miami Grand Prix,1
GAS,Alpine,Monaco Grand Prix,1
GAS,Alpine,Saudi Arabian Grand Prix,1
GAS,Alpine,Spanish Grand Prix,2
HAM,Mercedes,Australian Grand Prix,1
HAM,Mercedes,Austrian Grand Prix,2
HAM,Mercedes,Bahrain Grand Prix,2
HAM,Mercedes,Belgian Grand Prix,2
HAM,Mercedes,British Grand Prix,2
HAM,Mercedes,Canadian Grand Prix,3
HAM,Mercedes,Chinese Grand Prix,2
HAM,Mercedes,Dutch Grand Prix,2
HAM,Mercedes,Emilia Romagna Grand Prix,1
HAM,Mercedes,Hungarian Grand Prix,2
HAM,Mercedes,Japanese Grand Prix,3
HAM,Mercedes,Miami Grand Prix,1
