DriverNumber,Compound,AvgLapTime
1,HARD,164.80362962962965
1,MEDIUM,78.47580392156863
2,HARD,125.20152631578948
2,MEDIUM,77.26805263157895
3,HARD,81.22948000000001
3,MEDIUM,2507.607
4,HARD,77.51293506493506
4,MEDIUM,2468.042
10,HARD,2497.695
10,MEDIUM,81.02763157894738
11,HARD,0.0
14,HARD,2513.184
14,MEDIUM,81.14965333333333
16,HARD,77.42035064935065
16,MEDIUM,2456.33
18,HARD,429.7528571428571
18,MEDIUM,82.82460975609757
18,SOFT,78.48007142857143
20,HARD,0.0
22,HARD,80.87410526315789
22,MEDIUM,2488.609
23,HARD,80.98406578947368
23,MEDIUM,2494.817
24,HARD,81.89976811594202
24,MEDIUM,2526.253
24,SOFT,78.91283333333332
27,MEDIUM,0.0
31,HARD,0.0
44,HARD,161.82175
44,MEDIUM,78.53282
55,HARD,77.5032987012987
55,MEDIUM,2462.721
63,HARD,2473.884
63,MEDIUM,77.569
77,HARD,119.22214516129033
77,MEDIUM,86.30492857142858
81,HARD,77.50435064935066
81,MEDIUM,2458.744
