DriverNumber,TotalPitStops,ClassifiedPosition,Compound,LapCount
1,2,6,HARD,27
1,2,6,MEDIUM,51
2,2,15,HARD,57
2,2,15,MEDIUM,19
3,1,12,HARD,75
3,1,12,MEDIUM,1
4,1,4,HARD,77
4,1,4,MEDIUM,1
10,1,10,HARD,1
10,1,10,MEDIUM,76
14,1,11,HARD,1
14,1,11,MEDIUM,75
16,1,1,HARD,77
16,1,1,MEDIUM,1
18,3,14,HARD,7
18,3,14,MEDIUM,41
18,3,14,SOFT,28
22,1,8,HARD,76
22,1,8,MEDIUM,1
23,1,9,HARD,76
23,1,9,MEDIUM,1
24,2,16,HARD,69
24,2,16,MEDIUM,1
24,2,16,SOFT,6
44,2,7,HARD,28
44,2,7,MEDIUM,50
55,1,3,HARD,77
55,1,3,MEDIUM,1
63,1,5,HARD,1
63,1,5,MEDIUM,77
77,2,13,HARD,62
77,2,13,MEDIUM,14
81,1,2,HARD,77
81,1,2,MEDIUM,1
