Stint,Compound,LapTimeSeconds
1,HARD,129.3629090909091
1,INTERMEDIATE,93.21024158415841
1,MEDIUM,95.83996952104499
1,SOFT,90.79312283044058
1,WET,99.37947368421052
2,HARD,86.94266513056836
2,INTERMEDIATE,98.55002597402597
2,MEDIUM,85.50094167679222
2,SOFT,87.34004166666666
3,HARD,89.40390976645435
3,INTERMEDIATE,99.04559016393442
3,MEDIUM,86.8752380952381
3,SOFT,87.15812903225807
4,HARD,96.13673782771535
4,INTERMEDIATE,97.47024242424243
4,MEDIUM,90.44243724696356
4,SOFT,88.43521686746988
5,HARD,101.91799999999999
5,MEDIUM,82.26752112676056
5,SOFT,97.07253333333334
