EventName,DriverNumber,Compound,ClassifiedPosition
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,1,SOFT,1.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,11,SOFT,2.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,55,SOFT,3.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,16,SOFT,4.0
Bahrain Grand Prix,63,SOFT,5.0
Bahrain Grand Prix,63,SOFT,5.0
Bahrain Grand Prix,63,SOFT,5.0
Bahrain Grand Prix,63,SOFT,5.0
Bahrain Grand Prix,63,SOFT,5.0
Bahrain Grand Prix,63,SOFT,5.0
