Compound,TyreLife,LapDeltaTime
HARD,1,1.4640714285714291
HARD,2,1.420432176656152
HARD,3,-1.7284182389937106
HARD,4,1.1989242902208208
HARD,5,-0.9030412698412701
HARD,6,1.5253226837060703
HARD,7,-0.4906815286624199
HARD,8,0.4498210862619804
HARD,9,-1.7747699680511175
HARD,10,0.6078424437299031
HARD,11,-1.0936006493506496
HARD,12,0.28827868852459
HARD,13,-0.15259395973154344
HARD,14,0.4429186440677964
HARD,15,-0.15697577854671252
HARD,16,0.17303225806451605
HARD,17,0.1428671586715864
HARD,18,0.5718544061302685
HARD,19,0.02230000000000041
HARD,20,0.3472970711297065
HARD,21,0.4958495575221239
HARD,22,0.7421042654028436
HARD,23,0.3590351758793968
HARD,24,0.31907936507936485
HARD,25,0.24260919540229925
HARD,26,0.45068263473053916
HARD,27,0.23616883116883156
HARD,28,0.5525804195804194
HARD,29,0.06277049180327847
HARD,30,0.779265486725664
HARD,31,0.3961249999999996
HARD,32,-0.16629670329670293
HARD,33,0.15076744186046473
HARD,34,0.23239189189189194
HARD,35,0.06342424242424254
HARD,36,0.07162903225806455
HARD,37,0.26767796610169503
HARD,38,-0.051327272727273124
HARD,39,0.24971698113207652
HARD,40,-0.051625000000001066
HARD,41,0.599499999999999
HARD,42,-0.30533333333333373
HARD,43,0.07325806451613089
HARD,44,0.06431818181818275
HARD,45,-0.01463157894737097
HARD,46,-0.12705882352941156
HARD,47,0.03958823529411942
HARD,48,0.10458823529411632
HARD,49,0.2106874999999997
HARD,50,-0.8017142857142839
HARD,51,0.764538461538461
HARD,52,-0.21841666666666745
HARD,53,0.27699999999999986
HARD,54,0.10099999999999909
HARD,55,-0.839454545454545
HARD,56,0.2762727272727287
HARD,57,0.9509999999999973
HARD,58,-0.23966666666666786
HARD,59,-0.043666666666663585
HARD,60,0.5003333333333317
HARD,61,-0.29122222222222327
HARD,62,0.5070000000000002
HARD,63,-0.5157499999999953
HARD,64,-0.4695000000000036
HARD,65,-0.21374999999999744
HARD,66,0.1731249999999971
HARD,67,0.5048749999999984
HARD,68,-0.2828749999999971
HARD,69,2.8951249999999966
HARD,70,-0.06971428571428565
HARD,71,-0.45899999999999913
HARD,72,-0.14114285714285707
HARD,73,-0.3504285714285698
HARD,74,0.3617142857142852
HARD,75,-0.3619999999999988
HARD,76,0.12528571428571564
HARD,77,0.31479999999999675
HARD,78,0.5880000000000081
INTERMEDIATE,1,14.831857142857144
INTERMEDIATE,2,-13.191516666666667
INTERMEDIATE,3,1.4490000000000005
INTERMEDIATE,4,0.7058448275862065
INTERMEDIATE,5,-7.033844827586206
INTERMEDIATE,6,0.31918965517241243
INTERMEDIATE,7,-1.151982456140351
INTERMEDIATE,8,-0.5871607142857135
INTERMEDIATE,9,-1.3109272727272727
