EventName,DriverNumber,Compound,LapCount,TotalLaps,LapProportion
Australian Grand Prix,1,MEDIUM,4,58,0.06896551724137931
Australian Grand Prix,3,HARD,52,58,0.896551724137931
Australian Grand Prix,3,SOFT,5,58,0.08620689655172414
Australian Grand Prix,4,HARD,44,58,0.7586206896551724
Australian Grand Prix,4,MEDIUM,14,58,0.2413793103448276
Australian Grand Prix,10,HARD,40,58,0.6896551724137931
Australian Grand Prix,10,MEDIUM,17,58,0.29310344827586204
Australian Grand Prix,11,HARD,44,58,0.7586206896551724
Australian Grand Prix,11,MEDIUM,14,58,0.2413793103448276
Australian Grand Prix,14,HARD,34,58,0.5862068965517241
Australian Grand Prix,14,MEDIUM,24,58,0.41379310344827586
Australian Grand Prix,16,HARD,49,58,0.8448275862068966
Australian Grand Prix,16,MEDIUM,9,58,0.15517241379310345
Australian Grand Prix,18,HARD,50,58,0.8620689655172413
Australian Grand Prix,18,MEDIUM,8,58,0.13793103448275862
Australian Grand Prix,20,HARD,50,58,0.8620689655172413
Australian Grand Prix,20,MEDIUM,7,58,0.1206896551724138
Australian Grand Prix,22,HARD,49,58,0.8448275862068966
Australian Grand Prix,22,MEDIUM,9,58,0.15517241379310345
Australian Grand Prix,23,HARD,51,58,0.8793103448275862
Australian Grand Prix,23,MEDIUM,6,58,0.10344827586206896
Australian Grand Prix,24,HARD,51,58,0.8793103448275862
Australian Grand Prix,24,SOFT,6,58,0.10344827586206896
Australian Grand Prix,27,HARD,40,58,0.6896551724137931
Australian Grand Prix,27,MEDIUM,18,58,0.3103448275862069
Australian Grand Prix,31,HARD,48,58,0.8275862068965517
Australian Grand Prix,31,MEDIUM,9,58,0.15517241379310345
Australian Grand Prix,44,HARD,9,58,0.15517241379310345
Australian Grand Prix,44,SOFT,7,58,0.1206896551724138
Australian Grand Prix,55,HARD,42,58,0.7241379310344828
Australian Grand Prix,55,MEDIUM,16,58,0.27586206896551724
Australian Grand Prix,63,HARD,49,58,0.8448275862068966
Australian Grand Prix,63,MEDIUM,8,58,0.13793103448275862
Australian Grand Prix,77,HARD,49,58,0.8448275862068966
Australian Grand Prix,77,MEDIUM,8,58,0.13793103448275862
Australian Grand Prix,81,HARD,49,58,0.8448275862068966
Australian Grand Prix,81,MEDIUM,9,58,0.15517241379310345
Austrian Grand Prix,1,HARD,28,71,0.39436619718309857
Austrian Grand Prix,1,MEDIUM,36,71,0.5070422535211268
Austrian Grand Prix,1,SOFT,7,71,0.09859154929577464
Austrian Grand Prix,2,HARD,29,71,0.4084507042253521
Austrian Grand Prix,2,MEDIUM,40,71,0.5633802816901409
Austrian Grand Prix,3,HARD,61,71,0.8591549295774648
Austrian Grand Prix,3,MEDIUM,10,71,0.14084507042253522
Austrian Grand Prix,4,HARD,28,71,0.39436619718309857
Austrian Grand Prix,4,MEDIUM,36,71,0.5070422535211268
Austrian Grand Prix,10,HARD,22,71,0.30985915492957744
Austrian Grand Prix,10,MEDIUM,49,71,0.6901408450704225
Austrian Grand Prix,11,HARD,30,71,0.4225352112676056
Austrian Grand Prix,11,MEDIUM,41,71,0.5774647887323944
Austrian Grand Prix,14,HARD,33,71,0.4647887323943662
Austrian Grand Prix,14,MEDIUM,35,71,0.49295774647887325
Austrian Grand Prix,14,SOFT,2,71,0.028169014084507043
Austrian Grand Prix,16,HARD,15,71,0.2112676056338028
Austrian Grand Prix,16,MEDIUM,56,71,0.7887323943661971
Austrian Grand Prix,18,HARD,27,71,0.38028169014084506
Austrian Grand Prix,18,MEDIUM,43,71,0.6056338028169014
Austrian Grand Prix,20,HARD,61,71,0.8591549295774648
Austrian Grand Prix,20,MEDIUM,10,71,0.14084507042253522
Austrian Grand Prix,22,HARD,49,71,0.6901408450704225
Austrian Grand Prix,22,MEDIUM,21,71,0.29577464788732394
Austrian Grand Prix,23,HARD,58,71,0.8169014084507042
Austrian Grand Prix,23,MEDIUM,12,71,0.16901408450704225
Austrian Grand Prix,24,HARD,47,71,0.6619718309859155
Austrian Grand Prix,24,MEDIUM,23,71,0.323943661971831
Austrian Grand Prix,27,HARD,60,71,0.8450704225352113
Austrian Grand Prix,27,MEDIUM,11,71,0.15492957746478872
Austrian Grand Prix,31,HARD,24,71,0.3380281690140845
Austrian Grand Prix,31,MEDIUM,47,71,0.6619718309859155
Austrian Grand Prix,44,HARD,32,71,0.4507042253521127
Austrian Grand Prix,44,MEDIUM,39,71,0.5492957746478874
Austrian Grand Prix,55,HARD,25,71,0.352112676056338
Austrian Grand Prix,55,MEDIUM,46,71,0.647887323943662
Austrian Grand Prix,63,HARD,25,71,0.352112676056338
Austrian Grand Prix,63,MEDIUM,46,71,0.647887323943662
Austrian Grand Prix,77,HARD,51,71,0.7183098591549296
Austrian Grand Prix,77,MEDIUM,19,71,0.2676056338028169
Austrian Grand Prix,81,HARD,26,71,0.36619718309859156
Austrian Grand Prix,81,MEDIUM,45,71,0.6338028169014085
Bahrain Grand Prix,1,HARD,20,57,0.3508771929824561
Bahrain Grand Prix,1,SOFT,37,57,0.6491228070175439
Bahrain Grand Prix,2,HARD,30,57,0.5263157894736842
Bahrain Grand Prix,2,SOFT,25,57,0.43859649122807015
Bahrain Grand Prix,3,HARD,22,57,0.38596491228070173
Bahrain Grand Prix,3,SOFT,34,57,0.5964912280701754
Bahrain Grand Prix,4,HARD,44,57,0.7719298245614035
Bahrain Grand Prix,4,SOFT,13,57,0.22807017543859648
Bahrain Grand Prix,10,HARD,31,57,0.543859649122807
Bahrain Grand Prix,10,SOFT,25,57,0.43859649122807015
Bahrain Grand Prix,11,HARD,24,57,0.42105263157894735
Bahrain Grand Prix,11,SOFT,33,57,0.5789473684210527
Bahrain Grand Prix,14,HARD,42,57,0.7368421052631579
Bahrain Grand Prix,14,SOFT,15,57,0.2631578947368421
Bahrain Grand Prix,16,HARD,46,57,0.8070175438596491
Bahrain Grand Prix,16,SOFT,11,57,0.19298245614035087
Bahrain Grand Prix,18,HARD,48,57,0.8421052631578947
Bahrain Grand Prix,18,SOFT,9,57,0.15789473684210525
Bahrain Grand Prix,20,HARD,45,57,0.7894736842105263
