EventName,Team,Compound,LapCount,TotalLaps,LapProportion
Australian Grand Prix,Alpine,HARD,88,58,1.5172413793103448
Australian Grand Prix,Alpine,MEDIUM,26,58,0.4482758620689655
Australian Grand Prix,Aston Martin,HARD,84,58,1.4482758620689655
Australian Grand Prix,Aston Martin,MEDIUM,32,58,0.5517241379310345
Australian Grand Prix,Ferrari,HARD,91,58,1.5689655172413792
Australian Grand Prix,Ferrari,MEDIUM,25,58,0.43103448275862066
Australian Grand Prix,Haas F1 Team,HARD,90,58,1.5517241379310345
Australian Grand Prix,Haas F1 Team,MEDIUM,25,58,0.43103448275862066
Australian Grand Prix,Kick Sauber,HARD,100,58,1.7241379310344827
Australian Grand Prix,Kick Sauber,MEDIUM,8,58,0.13793103448275862
Australian Grand Prix,Kick Sauber,SOFT,6,58,0.10344827586206896
Australian Grand Prix,McLaren,HARD,93,58,1.603448275862069
Australian Grand Prix,McLaren,MEDIUM,23,58,0.39655172413793105
Australian Grand Prix,Mercedes,HARD,58,58,1.0
Australian Grand Prix,Mercedes,MEDIUM,8,58,0.13793103448275862
Australian Grand Prix,Mercedes,SOFT,7,58,0.1206896551724138
Australian Grand Prix,RB,HARD,101,58,1.7413793103448276
Australian Grand Prix,RB,MEDIUM,9,58,0.15517241379310345
Australian Grand Prix,RB,SOFT,5,58,0.08620689655172414
Australian Grand Prix,Red Bull Racing,HARD,44,58,0.7586206896551724
Australian Grand Prix,Red Bull Racing,MEDIUM,18,58,0.3103448275862069
Australian Grand Prix,Williams,HARD,51,58,0.8793103448275862
Australian Grand Prix,Williams,MEDIUM,6,58,0.10344827586206896
Austrian Grand Prix,Alpine,HARD,46,71,0.647887323943662
Austrian Grand Prix,Alpine,MEDIUM,96,71,1.352112676056338
Austrian Grand Prix,Aston Martin,HARD,60,71,0.8450704225352113
Austrian Grand Prix,Aston Martin,MEDIUM,78,71,1.0985915492957747
Austrian Grand Prix,Aston Martin,SOFT,2,71,0.028169014084507043
Austrian Grand Prix,Ferrari,HARD,40,71,0.5633802816901409
Austrian Grand Prix,Ferrari,MEDIUM,102,71,1.4366197183098592
Austrian Grand Prix,Haas F1 Team,HARD,121,71,1.704225352112676
Austrian Grand Prix,Haas F1 Team,MEDIUM,21,71,0.29577464788732394
Austrian Grand Prix,Kick Sauber,HARD,98,71,1.380281690140845
Austrian Grand Prix,Kick Sauber,MEDIUM,42,71,0.5915492957746479
Austrian Grand Prix,McLaren,HARD,54,71,0.7605633802816901
Austrian Grand Prix,McLaren,MEDIUM,81,71,1.1408450704225352
Austrian Grand Prix,Mercedes,HARD,57,71,0.8028169014084507
Austrian Grand Prix,Mercedes,MEDIUM,85,71,1.1971830985915493
Austrian Grand Prix,RB,HARD,110,71,1.5492957746478873
